T (K),P (kPa),q (mol/kg)
277,0.07,0.695
277,0.11,0.752
277,0.2,0.797
277,0.31,0.825
277,0.56,0.86
277,0.8,0.882
277,1.07,0.904
277,1.46,0.923
277,3.51,0.976
277,6.96,1.212
277,12.06,1.371
277,17.26,1.469
277,27.56,1.535
277,41.42,1.577
277,55.2,1.602
277,68.95,1.619
277,86.17,1.632
