p, q
0.002631588,61.7376
0.011393903,102.6524
0.03226592,117.0234
0.063321868,128.5133
0.134508554,146.2659
0.171513531,154.7191
0.187343998,158.5335
0.304711282,187.398
0.341010442,198.5375
0.433069145,221.0974
0.575946672,269.3532
0.629387102,293.8672
